Company Name,Exchange:Ticker,Geographic Region,Actual PE,Predicted PE,% Under or Over value,Expected growth rate,Emerging Market Dummy
Tongaat Hulett Limited (JSE:TON),JSE:TON,Africa / Middle East,12.094991364421416,22.115641200000002,-0.45310238780590206,0.14400000000000002,1
Bonduelle SA (ENXTPA:BON),ENXTPA:BON,Europe,11.076809453471196,19.95803585,-0.4449950116974465,0.0895,0
Tenwow International Holdings Limited (SEHK:1219),SEHK:1219,Asia / Pacific,20.25242718446602,36.1994634,-0.4405323924092748,0.258,1
Bumitama Agri Ltd (SGX:P8Z),SGX:P8Z,Asia / Pacific,19.442280945757997,33.975702,-0.42775925731400644,0.24,1
"PT. BW Plantation, Tbk (JKSE:BWPT)",JKSE:BWPT,Asia / Pacific,16.918367346938776,29.5281792,-0.427043325890586,0.204,1
Vietnam Dairy Products Joint Stock Company (HOSE:VNM),HOSE:VNM,Asia / Pacific,18.22434839986803,31.504856,-0.4215384320478077,0.22,1
Kernel Holding S.A. (WSE:KER),WSE:KER,Europe,8.273338312173262,13.842692,-0.40233169153996473,0.04,0
PT Astra Agro Lestari Tbk (JKSE:AALI),JKSE:AALI,Asia / Pacific,13.57254004576659,22.6098104,-0.3997057115628625,0.14800000000000002,1
JBS S.A. (BOVESPA:JBSS3),BOVESPA:JBSS3,Latin America and Caribbean,23.997783196630458,39.782190099999994,-0.3967706871766604,0.287,1
PT Malindo Feedmill Tbk (JKSE:MAIN),JKSE:MAIN,Asia / Pacific,17.515151515151516,28.4162985,-0.38362304593782626,0.195,1
Freedom Foods Group Limited (ASX:FNP),ASX:FNP,Asia / Pacific,34.72222222222222,56.089773699999995,-0.38095271327111413,0.419,1
"Campofrio Food Group, S.A. (CATS:CFG)",CATS:CFG,Europe,39.45631067961165,63.012527399999996,-0.37383386593676526,0.43799999999999994,0
Agthia Group PJSC (ADX:AGTHIA),ADX:AGTHIA,Africa / Middle East,16.218225419664268,25.6983679,-0.36890056665177295,0.17300000000000001,1
"Warabeya Nichiyo Co., Ltd. (TSE:2918)",TSE:2918,Asia / Pacific,14.223684210526315,22.2391835,-0.3604223729469962,0.145,1
