Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Total Debt [Latest Quarter] ($USDmm, Historical rate)","EBITDA [LTM] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)","Interest Expense [LTM] ($USDmm, Historical rate)","Total Common Equity [Latest Quarter] ($USDmm, Historical rate)",S&P Entity Credit Rating - Issuer Credit Rating - Foreign Currency LT [Latest] (Rating)
Phillips 66 (NYSE:PSX),NYSE:PSX,Energy (Primary),42176.8,8684,4401,3406,-267,21590,BBB+
Open Joint Stock Company Oil company LUKOIL (MICEX:LKOH),MICEX:LKOH,Energy (Primary),38240,13529,17581,8765,-637,81130,BBB-
Halliburton Company (NYSE:HAL),NYSE:HAL,Energy (Primary),37827.4,7840,7028,4902,-396,16267,A
"Williams Companies, Inc. (NYSE:WMB)",NYSE:WMB,Energy (Primary),37791.2,21690,2469,1293,-747,8777,BB+
Coal India Limited (BSE:533278),BSE:533278,Energy (Primary),36462.4,27.3,2636.3,2336.2,-3.85,7583.2,
Canadian Natural Resources Limited (TSX:CNQ),TSX:CNQ,Energy (Primary),35899.7,12090.8,9164.4,4783.8,-285.8,24947.5,BBB+
Imperial Oil Ltd. (TSX:IMO),TSX:IMO,Energy (Primary),35308.4,5950.4,4650.8,3704.4,-3.45,19454.8,AAA
"Energy Transfer Equity, L.P. (NYSE:ETE)",NYSE:ETE,Energy (Primary),34190.9,30661,4589,2865,-1526,665,BB
Ecopetrol SA (BVC:ECOPETROL),BVC:ECOPETROL,Energy (Primary),33626.1,14951.5,9682.2,6963,-342.9,28748.9,BBB
TransCanada Corp. (TSX:TRP),TSX:TRP,Energy (Primary),30989.2,24509.7,4233.8,2842.7,-1034.5,14519.8,A-
Valero Energy Corporation (NYSE:VLO),NYSE:VLO,Energy (Primary),30117,6386,7592,5902,-397,20677,BBB
PTT Public Company Limited (SET:PTT),SET:PTT,Energy (Primary),29882.3,14460,7763.8,3239.8,-652.3,21199.8,BBB+
Williams Partners L.P. (NYSE:WPZ),NYSE:WPZ,Energy (Primary),28079.2,17128,2502,1307,-562,20594,BBB
Baker Hughes Incorporated (NYSE:BHI),NYSE:BHI,Energy (Primary),27955.5,4133,4847,3033,-232,18625,A
Marathon Petroleum Corporation (NYSE:MPC),NYSE:MPC,Energy (Primary),26818.1,6637,5214,3888,-202,10751,BBB
"Repsol, S.A. (CATS:REP)",CATS:REP,Energy (Primary),26795.6,16084.2,1996,336.5,-555.6,33815.9,BBB-
Joint Stock Company NOVATEK (LSE:NVTK),LSE:NVTK,Energy (Primary),26413.4,3335.2,2311.3,2038.9,-761.6,6268.9,BB+
Devon Energy Corporation (NYSE:DVN),NYSE:DVN,Energy (Primary),25902,11263,8966,5647,-488,21539,BBB+
Pioneer Natural Resources Co. (NYSE:PXD),NYSE:PXD,Energy (Primary),25601,2668,2870,1747,-184,8581,BBB-
Spectra Energy Corp. (NYSE:SE),NYSE:SE,Energy (Primary),24697.9,14679,2733,1924,-679,8160,BBB
Apache Corp. (NYSE:APA),NYSE:APA,Energy (Primary),24661.5,11245,10159,4821,-142,25937,A-
Open Joint Stock Company Surgutneftegas (MICEX:SNGS),MICEX:SNGS,Energy (Primary),24253.6,0,8571,6960.8,-165.2,63524.7,
Sasol Ltd. (JSE:SOL),JSE:SOL,Energy (Primary),22720.3,3102.9,5684,4544.5,-168,15929.3,BBB
Woodside Petroleum Ltd. (ASX:WPL),ASX:WPL,Energy (Primary),21643.9,2586,5555,3654,-178,15824,BBB+
"National Oilwell Varco, Inc. (NYSE:NOV)",NYSE:NOV,Energy (Primary),21632.3,3166,4495,3717,-105,20692,A+
Formosa Petrochemical Corp. (TSEC:6505),TSEC:6505,Energy (Primary),21624.9,6049.3,784.2,-7.07,-92.1,7546.4,BBB+
Husky Energy Inc. (TSX:HSE),TSX:HSE,Energy (Primary),21425.3,4797.6,5107.6,1525,-81.2,17305.5,BBB+
Hess Corporation (NYSE:HES),NYSE:HES,Energy (Primary),20795.3,5987,5612,2009,-323,22205,BBB
"Energy Transfer Partners, L.P. (NYSE:ETP)",NYSE:ETP,Energy (Primary),20158.7,19340,3605,2475,-1017,11886,BBB-
"Plains All American Pipeline, L.P. (NYSE:PAA)",NYSE:PAA,Energy (Primary),19742.9,10136,2473,2090,-340,7793,BBB+
"Noble Energy, Inc. (NYSE:NBL)",NYSE:NBL,Energy (Primary),19519.3,6171,3435,1676,-210,10325,BBB
Marathon Oil Corporation (NYSE:MRO),NYSE:MRO,Energy (Primary),19013,6391,4564,1265,-265,21020,BBB
"Cheniere Energy, Inc. (AMEX:LNG)",AMEX:LNG,Energy (Primary),18579.4,9829.3,-327.3,-391.6,-181.2,-164.2,B+
Magellan Midstream Partners LP (NYSE:MMP),NYSE:MMP,Energy (Primary),18351,3009.4,1116.6,964.2,-123.1,1868.2,BBB+
"Continental Resources, Inc. (NYSE:CLR)",NYSE:CLR,Energy (Primary),18201,5997.9,3852.4,1867.2,-283.9,4967.8,BBB-
Tenaris S.A. (BIT:TEN),BIT:TEN,Energy (Primary),17425.8,999.2,2679.1,2103.6,-44.4,12819.1,
Inpex Corporation (TSE:1605),TSE:1605,Energy (Primary),16815.8,5655.7,5749.1,5257.2,-22.7,25480.4,A
Oil Transporting Joint Stock Company Transneft (MICEX:TRNFP),MICEX:TRNFP,Energy (Primary),16578.6,15407.5,9104.1,6178.8,-873.6,35402.7,BB+
YPF S.A. (BASE:YPFD),BASE:YPFD,Energy (Primary),15811.4,5764.6,4693.1,2307.4,-857.7,8491.8,NR
Empresas Copec S.A. (SNSE:COPEC),SNSE:COPEC,Energy (Primary),15398.1,7024.5,1809.2,1244.5,-300.3,9739.2,BBB
Cenovus Energy Inc. (TSX:CVE),TSX:CVE,Energy (Primary),14780.2,4713,3788.2,1929.9,-265.1,8795.7,BBB+
Indian Oil Corporation Limited (BSE:530965),BSE:530965,Energy (Primary),14516.9,,3575.8,2512.8,-699.6,,NR
Shaanxi Coal Industry Company Limited (SHSE:601225),SHSE:601225,Energy (Primary),14328.1,3287,1375.5,674,-113.5,5722.4,
"Concho Resources, Inc. (NYSE:CXO)",NYSE:CXO,Energy (Primary),14253,3609.9,2741,1089.7,-216.7,5280.8,BB+
PTT Exploration and Production Public Company Limited (SET:PTTEP),SET:PTTEP,Energy (Primary),14128.7,4284.7,5890.1,2063.6,-259.4,12548,BBB+
China Oilfield Services Ltd. (SEHK:2883),SEHK:2883,Energy (Primary),13950.7,4375.6,1880.6,1385.4,-94.7,7622.2,A-
Joint Stock Company Gazprom Neft (MICEX:SIBN),MICEX:SIBN,Energy (Primary),13517.9,9180.1,4777.1,3386.1,-225.8,17364.6,BB+
"Western Gas Equity Partners, LP (NYSE:WGP)",NYSE:WGP,Energy (Primary),13412.6,2424.1,569,388.9,-76.8,1260.2,
China Coal Energy Company Limited (SEHK:1898),SEHK:1898,Energy (Primary),12828.4,15351.2,1298.7,471.2,-440.6,13982.2,
EQT Corporation (NYSE:EQT),NYSE:EQT,Energy (Primary),12790.8,2988.9,1780.5,1101.2,-136.5,4582.8,BBB
Cabot Oil & Gas Corporation (NYSE:COG),NYSE:COG,Energy (Primary),12734.8,1752,718.7,86,-73.8,2142.7,
"Enbridge Energy Partners, L.P. (NYSE:EEP)",NYSE:EEP,Energy (Primary),12589.6,7364.2,1560.5,1102.3,-403.2,3746.5,BBB+
"MarkWest Energy Partners, L.P. (NYSE:MWE)",NYSE:MWE,Energy (Primary),12183.6,3621.4,922,433.8,-173.7,5209.8,BB
OAO Tatneft (MICEX:TATN),MICEX:TATN,Energy (Primary),11777.2,468.4,2109.2,1765.1,-89.3,9058.5,NR
Ultrapar Holdings Inc. (NYSE:UGP),NYSE:UGP,Energy (Primary),11561.9,3152.6,1166.5,846.4,-274.3,2896.2,BBB
Crescent Point Energy Corp. (TSX:CPG),TSX:CPG,Energy (Primary),11268.5,2541.4,2763.2,825.7,10.9,8774,
Pembina Pipeline Corporation (TSX:PPL),TSX:PPL,Energy (Primary),11268.3,2477.4,804.8,613.1,-85.5,4711.3,BBB
Cimarex Energy Co. (NYSE:XEC),NYSE:XEC,Energy (Primary),10885.4,1500,1627.5,813.9,-36.9,4500.6,BB+
Tesoro Corporation (NYSE:TSO),NYSE:TSO,Energy (Primary),10758.8,4260,2091,1711,-194,4454,BB+
Weatherford International plc (NYSE:WFT),NYSE:WFT,Energy (Primary),10499.2,7525,2514,1143,-498,6958,NR
Cheniere Energy Partners LP. (AMEX:CQP),AMEX:CQP,Energy (Primary),10471.7,9014.5,-60.3,-118.9,-177,1105.8,BB
Antero Resources Corporation (NYSE:AR),NYSE:AR,Energy (Primary),10459.3,4362.6,1754.1,1259.7,-160.1,4383.8,BB
"ONEOK Partners, L.P. (NYSE:OKS)",NYSE:OKS,Energy (Primary),10431.8,7146.2,1433.5,1142.2,-281.9,5738.9,BBB
Chesapeake Energy Corporation (NYSE:CHK),NYSE:CHK,Energy (Primary),10183.6,11582,6499,3584,-173,13841,BB+
Sunoco Logistics Partners L.P. (NYSE:SXL),NYSE:SXL,Energy (Primary),10175.5,4260,690,394,-68,5753,BBB
ONEOK Inc. (NYSE:OKE),NYSE:OKE,Energy (Primary),10114.1,8303.7,1431.7,1137,-356.2,592.1,BB+
"JX Holdings, Inc. (TSE:5020)",TSE:5020,Energy (Primary),9963.6,24469.2,-25.5,-1614.6,-210.5,16639.3,NR
Galp Energia SGPS SA (ENXTLS:GALP),ENXTLS:GALP,Energy (Primary),9823.9,4638.1,959.6,349.6,-123,6057.7,
"Buckeye Partners, L.P. (NYSE:BPL)",NYSE:BPL,Energy (Primary),9765.2,3555,680.7,495.3,-171.2,3702.6,BBB-
Origin Energy Limited (ASX:ORG),ASX:ORG,Energy (Primary),9608.5,9887.5,1540,989.3,-335.5,11091.2,BBB
OMV Aktiengesellschaft (WBAG:OMV),WBAG:OMV,Energy (Primary),9573.3,6704.6,5342.9,2366.4,-438.2,14125.8,
Southwestern Energy Co. (NYSE:SWN),NYSE:SWN,Energy (Primary),9550.2,6972,2462,1520,-67,4662,BBB-
Regency Energy Partners LP (NYSE:RGP),NYSE:RGP,Energy (Primary),9513,6656,893,352,-304,8684,BB
Yanzhou Coal Mining Co. Ltd. (SEHK:1171),SEHK:1171,Energy (Primary),9377.5,9906.2,904,345.5,-352.1,6650.6,BB+
Range Resources Corporation (NYSE:RRC),NYSE:RRC,Energy (Primary),9342.3,3073,1573.4,947.2,-169,3457.4,BB+
Western Gas Partners LP (NYSE:WES),NYSE:WES,Energy (Primary),9243.8,2423,576.9,396.9,-76.8,3836.7,BBB-
Bharat Petroleum Corp. Ltd. (BSE:500547),BSE:500547,Energy (Primary),9243.7,,1830.9,1399.6,-187.3,,
"Offshore Oil Engineering Co., Ltd. (SHSE:600583)",SHSE:600583,Energy (Primary),9167.2,305.3,987.6,810.2,-19.8,3314.6,
Murphy Oil Corporation (NYSE:MUR),NYSE:MUR,Energy (Primary),8973.1,3001.6,3263.7,1218,-115.8,8573.4,BBB
Encana Corporation (TSX:ECA),TSX:ECA,Energy (Primary),8942.8,7872,4164,2367,-654,9685,BBB
Cameron International Corporation (NYSE:CAM),NYSE:CAM,Energy (Primary),8923.8,3082,1642,1282,-149,4555,BBB+
Polskie Gornictwo Naftowe I Gazownictwo Spolka Akcyjna (WSE:PGN),WSE:PGN,Energy (Primary),8876.8,1677.8,1793.2,1101.4,-60.4,8514.2,BBB-
"FMC Technologies, Inc. (NYSE:FTI)",NYSE:FTI,Energy (Primary),8811.1,1308.9,1304.7,1072.2,-33.6,2456.3,BBB
"SK Innovation Co., Ltd. (KOSE:A096770)",KOSE:A096770,Energy (Primary),8599.9,10055.1,507.3,-211.9,-222.6,13737.1,BBB
"Guanghui Energy Co., Ltd. (SHSE:600256)",SHSE:600256,Energy (Primary),8517.6,3084.6,375.2,232.8,-77.4,1765.3,
Oil Search Limited (ASX:OSH),ASX:OSH,Energy (Primary),8414.5,4421.1,1147.5,704.3,-123.4,5025.5,
Inter Pipeline Ltd. (TSX:IPL),TSX:IPL,Energy (Primary),8396.9,3947.5,602.5,479.2,-78.5,2200.3,BBB+
Talisman Energy Inc. (TSX:TLM),TSX:TLM,Energy (Primary),7997.2,5146,3702,1039,-301,7214,BBB-
Kunlun Energy Company Limited (SEHK:135),SEHK:135,Energy (Primary),7985.9,3630.8,2155.5,1469.1,-62.7,6820.5,
Targa Resources Partners LP (NYSE:NGLS),NYSE:NGLS,Energy (Primary),7970.3,2966.2,999.5,648.6,-143.8,2438.6,BB+
"Helmerich & Payne, Inc. (NYSE:HP)",NYSE:HP,Energy (Primary),7889.8,81,1645.4,1127.5,-4.02,4921.2,BBB+
"Oil and Gas Development Co., Ltd. (KASE:OGDC)",KASE:OGDC,Energy (Primary),7354.8,0,1668.7,1380.7,-1.63,4149.7,
"Enable Midstream Partners, LP (NYSE:ENBL)",NYSE:ENBL,Energy (Primary),7339.8,2544,868,592,-70,8792,BBB-
Royal Vopak NV (ENXTAM:VPK),ENXTAM:VPK,Energy (Primary),7334.6,2963.5,798.5,517.9,-110,2128.2,
HollyFrontier Corporation (NYSE:HFC),NYSE:HFC,Energy (Primary),7330.5,1056,878.9,515.5,-43.6,5523.6,BBB-
Technip SA (ENXTPA:TEC),ENXTPA:TEC,Energy (Primary),7226.7,3162.9,1190.6,894.8,-124.3,5281.6,BBB+
Caltex Australia Ltd. (ASX:CTX),ASX:CTX,Energy (Primary),7210.5,566.5,384.5,229.9,-77,2062.6,BBB+
"EnLink Midstream Partners, LP (NYSE:ENLK)",NYSE:ENLK,Energy (Primary),7193.5,2035.7,633.7,352.9,-47.4,4791.2,BBB
Polski Koncern Naftowy Orlen Spolka Akcyjna (WSE:PKN),WSE:PKN,Energy (Primary),7025.8,3098.4,561.7,-0.282,-68.3,5298.4,
Whiting Petroleum Corp. (NYSE:WLL),NYSE:WLL,Energy (Primary),7008.8,5628.8,2164.2,307.1,-170.6,5695,BB+
S-Oil Corporation (KOSE:A010950),KOSE:A010950,Energy (Primary),6865.4,3332.7,45.8,-265.4,-39.1,4488.3,BBB
Neste Oil Corp. (HLSE:NES1V),HLSE:NES1V,Energy (Primary),6791.5,2259.9,515.6,116.2,-78.7,3196.8,
CONSOL Energy Inc. (NYSE:CNX),NYSE:CNX,Energy (Primary),6726.9,3288.9,912.9,341.7,-223.6,5329.5,BB
Tourmaline Oil Corp. (TSX:TOU),TSX:TOU,Energy (Primary),6684.4,793.4,833,385.4,-24.3,3820.6,
Cairn India Limited (BSE:532792),BSE:532792,Energy (Primary),6616,0,1823.4,1341.4,,9276.8,
"Yantai Jereh Oilfield Services Group Co., Ltd. (SZSE:002353)",SZSE:002353,Energy (Primary),6257.2,140.1,242.2,226.4,,1259.6,
Dresser-Rand Group Inc. (NYSE:DRC),NYSE:DRC,Energy (Primary),6239.8,1083.7,401.3,309,-52,1300.4,BB
Keyera Corp. (TSX:KEY),TSX:KEY,Energy (Primary),6129.3,1116.9,517,388.7,-35.9,1138.3,
Newfield Exploration Co. (NYSE:NFX),NYSE:NFX,Energy (Primary),5951,2892,2055,1185,-147,3893,BBB-
Transocean Ltd. (NYSE:RIG),NYSE:RIG,Energy (Primary),5944.3,10092,3796,2672,-483,13671,
ARC Resources Ltd. (TSX:ARX),TSX:ARX,Energy (Primary),5897.7,928.1,1228.9,561.1,-40.8,3067,
Türkiye Petrol Rafinerileri A.S. (IBSE:TUPRS),IBSE:TUPRS,Energy (Primary),5879.7,3318.6,354.3,247.6,-126.2,2634.5,
"Plains GP Holdings, L.P. (NYSE:PAGP)",NYSE:PAGP,Energy (Primary),5856.1,10742,2187,1803,-349,1657,
MPLX LP (NYSE:MPLX),NYSE:MPLX,Energy (Primary),5851.7,644.8,233.5,183.3,-4.1,1117.6,BBB-
Cameco Corporation (TSX:CCO),TSX:CCO,Energy (Primary),5814.8,1287.7,646.2,336,-62.6,4700.6,BBB+
Zeons Corporation (OTCPK:ZEON),OTCPK:ZEON,Energy (Primary),5796,,,,,,
Petronas Dagangan Bhd (KLSE:PETDAG),KLSE:PETDAG,Energy (Primary),5744,141.4,298.1,208.3,-1.28,1359.1,
"China Merchants Energy Shipping Co., Ltd. (SHSE:601872)",SHSE:601872,Energy (Primary),5697.8,2285.4,139.4,61.4,-20.7,1626.9,
Phillips 66 Partners LP (NYSE:PSXP),NYSE:PSXP,Energy (Primary),5666.2,429.6,149.4,133.2,-5.2,589.2,BBB
"Cheniere Energy Partners LP Holdings, LLC (AMEX:CQH)",AMEX:CQH,Energy (Primary),5662.7,0,,18.1,,1.21,
Ensco plc (NYSE:ESV),NYSE:ESV,Energy (Primary),5510.5,5920.4,2347.8,1817.8,-161.4,8215,BBB+
"Oceaneering International, Inc. (NYSE:OII)",NYSE:OII,Energy (Primary),5484.2,750,858.1,628.3,-4.71,1657.6,BBB
Santos Limited (ASX:STO),ASX:STO,Energy (Primary),5445.8,6752.6,1463.1,654.6,-44.2,7705.9,BBB
"EQT Midstream Partners, LP (NYSE:EQM)",NYSE:EQM,Energy (Primary),5425.6,640.3,311.3,274.7,-30.9,718.5,BBB-
"EnLink Midstream, LLC (NYSE:ENLC)",NYSE:ENLC,Energy (Primary),5403.5,2035.7,682.3,401.5,-50.8,2774.3,
Amec Foster Wheeler plc (LSE:AMFW),LSE:AMFW,Energy (Primary),5321.8,2055.6,470.7,392.7,-17.1,3109.2,
SeaDrill Limited (NYSE:SDRL),NYSE:SDRL,Energy (Primary),5223.3,13726,2152,1590,-478,9764,
Targa Resources Corp. (NYSE:TRGP),NYSE:TRGP,Energy (Primary),5159,3068.2,991.3,635.8,-147.1,169.8,B+
Petrofac Limited (LSE:PFC),LSE:PFC,Energy (Primary),5146,2691,887,637,-73,1861,BBB+
JSC KazMunaiGas Exploration Production (LSE:KMG),LSE:KMG,Energy (Primary),5091.6,39.6,1109.1,-455.4,-36.5,7344.5,BB+
Joint Stock Oil Company Bashneft (MICEX:BANE),MICEX:BANE,Energy (Primary),5047.7,2733.8,1658.7,1185.7,-201.3,3185.2,
"Shell Midstream Partners, L.P. (NYSE:SHLX)",NYSE:SHLX,Energy (Primary),5022.8,0,113.1,101.5,-0.2,417,
"INA-Industrija nafte, d.d. (ZGSE:INA-R-A)",ZGSE:INA-R-A,Energy (Primary),4997.7,547.5,394.9,62.4,-48,1846.4,
Rabigh Refining & Petrochemical Company (SASE:2380),SASE:2380,Energy (Primary),4983.4,5640.9,794.5,195.5,-71.6,2546.4,
Energen Corp. (NYSE:EGN),NYSE:EGN,Energy (Primary),4976.2,1038.6,1150,177,-37.8,3414.6,BB
"Shanxi Lu'an Environmental Energy Development Co., Ltd. (SHSE:601699)",SHSE:601699,Energy (Primary),4971.5,2238.3,396.7,251.7,-103.4,2976.7,
Core Laboratories NV (NYSE:CLB),NYSE:CLB,Energy (Primary),4931.9,357.1,375.6,348.9,-10.6,87.6,
Saipem SpA (BIT:SPM),BIT:SPM,Energy (Primary),4923.4,5355,1952.4,552,-240.9,5007.6,
Gulf International Services  Q.S.C. (DSM:GISS),DSM:GISS,Energy (Primary),4900.6,1333,367.9,269,-13.3,1147.1,
NuStar Energy L.P. (NYSE:NS),NYSE:NS,Energy (Primary),4893.6,2826.5,538.6,346.9,-132.3,1676.9,BB+
OMV Petrom SA (BVB:SNP),BVB:SNP,Energy (Primary),4891.7,578.3,1817.8,901.3,-148.3,7301,
Vermilion Energy Inc. (TSX:VET),TSX:VET,Energy (Primary),4822.3,1069.1,838.9,450.7,-42.9,1745.4,BB-
"Diamondback Energy, Inc. (NasdaqGS:FANG)",NasdaqGS:FANG,Energy (Primary),4709.3,673.5,510.7,340.2,-34.5,1751,B
Inner Mongolia Yitai Coal Co. Ltd. (SHSE:900948),SHSE:900948,Energy (Primary),4599.2,4301.1,886.6,618.4,-119.8,3697.5,
AltaGas Ltd. (TSX:ALA),TSX:ALA,Energy (Primary),4591.9,2881,433.5,280.1,-96.2,2377,BBB
"Shanxi Xishan Coal and Electricity Power Co.,Ltd (SZSE:000983)",SZSE:000983,Energy (Primary),4535.4,3112.9,678,238.7,-171.7,2698.1,
"Cobalt International Energy, Inc. (NYSE:CIE)",NYSE:CIE,Energy (Primary),4463.7,1928.5,-366.9,-441.9,-74.8,2114.3,CCC+
Lundin Petroleum AB (publ) (OM:LUPE),OM:LUPE,Energy (Primary),4461.2,2789.3,664.2,-259.2,-36.1,431.5,
Canadian Oil Sands Limited (TSX:COS),TSX:COS,Energy (Primary),4415.4,1631.2,1132.9,664.9,-6.91,3883.2,BBB-
Oil India Limited (BSE:533106),BSE:533106,Energy (Primary),4415,,685,506.9,-11.8,,
Tesoro Logistics LP (NYSE:TLLP),NYSE:TLLP,Energy (Primary),4414,2593,280,203,-83,1474,BB
Dragon Oil plc (LSE:DGO),LSE:DGO,Energy (Primary),4368.4,0,919,578.6,,3708.2,
The National Shipping Company of Saudi Arabia (SASE:4030),SASE:4030,Energy (Primary),4346.7,2177.2,301.5,153.3,-28.4,2082.5,
Nabors Industries Ltd. (NYSE:NBR),NYSE:NBR,Energy (Primary),4324,4355,1752.6,604.3,-179.9,4908.6,BBB
DCP Midstream Partners LP (NYSE:DPM),NYSE:DPM,Energy (Primary),4301.6,2311,567,457,-86,2975,BB
Peyto Exploration & Development Corp (TSX:PEY),TSX:PEY,Energy (Primary),4293.5,798.7,584.6,331.1,-29.7,1340.1,
"Western Refining, Inc. (NYSE:WNR)",NYSE:WNR,Energy (Primary),4292.8,1548,1308.5,1117.9,-97.1,1119.7,B+
Qatar Fuel Company Q.S.C. (DSM:QFLS),DSM:QFLS,Energy (Primary),4257.2,0,327.5,283.1,,1857.2,
Genesis Energy LP (NYSE:GEL),NYSE:GEL,Energy (Primary),4254.4,1601,219.2,132.6,-66.6,1229.2,BB-
"Qinghai Sunshiny Mining Co.,Ltd. (SHSE:600381)",SHSE:600381,Energy (Primary),4191.5,,,,,,
"TC PipeLines, LP (NYSE:TCP)",NYSE:TCP,Energy (Primary),4143.6,1695,340,254,-51,1323,BBB-
World Fuel Services Corp. (NYSE:INT),NYSE:INT,Energy (Primary),4091.2,689.9,318.7,269.1,-31.2,1855.4,
"Jizhong Energy Resources Co., Ltd (SZSE:000937)",SZSE:000937,Energy (Primary),4087.5,1907.8,571.4,240.3,-124.3,3004.4,
"Diamond Offshore Drilling, Inc. (NYSE:DO)",NYSE:DO,Energy (Primary),4087.3,2244.5,1133.1,676.6,-62.1,4451.6,A-
Tullow Oil plc (LSE:TLW),LSE:TLW,Energy (Primary),4060.4,3373.3,1576.4,-1321,-83.8,3996,BB-
"QEP Resources, Inc. (NYSE:QEP)",NYSE:QEP,Energy (Primary),4050.2,2218.1,1854.6,-329.2,-174.7,4075.3,BB+
Gulfport Energy Corp. (NasdaqGS:GPOR),NasdaqGS:GPOR,Energy (Primary),4021.6,716.5,492.3,226.1,-24,2296.3,B
Semirara Mining and Power Corporation (PSE:SCC),PSE:SCC,Energy (Primary),4017.8,433.5,187.9,143.5,-6.17,506.8,
MEG Energy Corp. (TSX:MEG),TSX:MEG,Energy (Primary),3996.6,3795.1,791.6,464.7,-168.7,4117.4,BB-
"Yangquan Coal Industry (Group) Co., Ltd. (SHSE:600348)",SHSE:600348,Energy (Primary),3989.2,969.4,416.8,146.5,-35.9,2218.2,
"Boardwalk Pipeline Partners, LP (NYSE:BWP)",NYSE:BWP,Energy (Primary),3963.4,3690.1,695.2,406.5,-165.5,4022.3,BBB-
PrairieSky Royalty Ltd. (TSX:PSK),TSX:PSK,Energy (Primary),3921.5,0,264.4,227.7,-0.444,832.4,
"Linn Energy, LLC (NasdaqGS:LINE)",NasdaqGS:LINE,Energy (Primary),3915.9,10295.8,2545.2,1471.3,-587.8,4543.6,BB-
Veresen Inc. (TSX:VSN),TSX:VSN,Energy (Primary),3856.8,1564.2,28.6,-43.3,-50.7,1892.2,BBB
"Oriental Energy Co., Ltd. (SZSE:002221)",SZSE:002221,Energy (Primary),3831.7,1141,38.3,25.8,,447.3,
MOL Magyar Olaj- es Gazipari Nyilvanosan Mukodo Reszvenytarsasag (BUSE:MOL),BUSE:MOL,Energy (Primary),3826.4,3677.7,1463.1,357.9,-202.8,6688.1,BB
SapuraKencana Petroleum Berhad (KLSE:SKPETRO),KLSE:SKPETRO,Energy (Primary),3823.9,4671,853.7,493.8,-183.7,3302.4,
Noble Corporation plc (NYSE:NE),NYSE:NE,Energy (Primary),3822.9,4869,1558.9,931.4,-155.2,6564.7,
Cosan S. A. Indústria e Comércio (BOVESPA:CSAN3),BOVESPA:CSAN3,Energy (Primary),3803.9,2784.6,583,364.1,-341.6,3317.6,BB
"Guizhou Panjiang Refined Coal Co., Ltd. (SHSE:600395)",SHSE:600395,Energy (Primary),3768,499.8,183.1,112.3,-31.4,1176.8,
GS Holdings Corp. (KOSE:A078930),KOSE:A078930,Energy (Primary),3722.6,5386,508,303.5,-182,5403.5,
John Wood Group PLC (LSE:WG.),LSE:WG.,Energy (Primary),3698.8,509.7,522,414.7,-17.6,2546.2,
Antero Midstream Partners LP (NYSE:AM),NYSE:AM,Energy (Primary),3686.2,0,58.2,21.5,-4.62,1342.5,
SemGroup Corporation (NYSE:SEMG),NYSE:SEMG,Energy (Primary),3672.2,767.1,164.8,56.7,-49,1149.5,B+
Baytex Energy Corp. (TSX:BTE),TSX:BTE,Energy (Primary),3648.7,1780.8,1017.6,532.7,-71.5,2164.6,BB
SM Energy Company (NYSE:SM),NYSE:SM,Energy (Primary),3637.6,2366,2052.3,1124.6,-98.6,2286.7,BB
"Superior Energy Services, Inc. (NYSE:SPN)",NYSE:SPN,Energy (Primary),3618.8,1648.8,1198.7,546.6,-98.3,4079.7,BBB-
"CVR Energy, Inc. (NYSE:CVI)",NYSE:CVI,Energy (Primary),3527.9,675.9,603.8,449.4,-40,988.1,
Thai Oil Public Company Limited (SET:TOP),SET:TOP,Energy (Primary),3504.9,2434.3,61,-136.2,-114.7,2513.3,BBB
Hindustan Petroleum Corporation Limited (BSE:500104),BSE:500104,Energy (Primary),3500,,1139.1,641.6,-229,,
Memorial Resource Development Corp. (NasdaqGS:MRD),NasdaqGS:MRD,Energy (Primary),3486.2,2378.4,392,-360.6,-133.8,582.4,B
Qatar Gas Transport Company Limited (Nakilat) Q.S.C. (DSM:QGTS),DSM:QGTS,Energy (Primary),3478,7295.1,638.2,457.5,-342,1041.3,
Teekay Corporation (NYSE:TK),NYSE:TK,Energy (Primary),3477.6,6800,851.1,428.2,-420,1098.3,B+
Showa Shell Sekiyu K.K. (TSE:5002),TSE:5002,Energy (Primary),3428.2,1748.7,194.5,-150.7,-14.2,2270.8,NR
Seven Generations Energy Ltd. (TSX:VII),TSX:VII,Energy (Primary),3416,702.8,445.3,306.7,-52.5,1650.1,B
Shanxi Guoxin Energy Corporation Limited (SHSE:600617),SHSE:600617,Energy (Primary),3357.6,1552.9,154.7,120.7,-33.4,336.3,
Delek Group Ltd. (TASE:DLEKG),TASE:DLEKG,Energy (Primary),3350.9,5317.6,710.7,447.1,-251.3,1335.6,
"Laredo Petroleum, Inc. (NYSE:LPI)",NYSE:LPI,Energy (Primary),3333.9,1801.3,728,479.8,-121.3,1563.2,B+
S.N.G.N. RomGaz S.A. (BVB:SNG),BVB:SNG,Energy (Primary),3324.7,0,726,509.6,-6.61,2628.8,
EP Energy Corporation (NYSE:EPE),NYSE:EPE,Energy (Primary),3264,4598,2359,1484,-318,4348,
Kosmos Energy Ltd. (NYSE:KOS),NYSE:KOS,Energy (Primary),3257,795.1,812,613.9,-46.7,1339,B
Huolinhe Opencut Coal Industry Corporation Limited of Inner Mongolia (SZSE:002128),SZSE:002128,Energy (Primary),3243.7,326.1,209.8,125.5,,1034.1,
